Lp.,Kolumna 1,Kolumna 2,Kolumna 3 ,Kolumna 4,Kolumna 5
0,0.24252875732199031,-0.44591759406304199,-0.45023904819626775,-0.44702273443203222,0
1,0.24587783752649373,0.14437882891664383,0.14828889408002555,0.13317221938811843,0
2,0.22537944712908084,0.60058114722578793,0.592048566001249,0.5904291894199537,0
3,0.230983686868275,0.0065766136679165435,0.0021317428437375207,0.00096863402899652253,0
4,0.26053824445184648,-0.4602713292108746,-0.46103613870481203,-0.46118199479412036,0
5,0.25389244263900163,0.13573592065019224,0.13081608256082958,0.12826173104807043,0
6,0.23687963878608587,0.56402362740555234,0.56257441626178339,0.56479591669894147,0
7,0.24356844944577807,-0.0177327345501429,-0.029747162419453049,-0.033094372674093542,0
8,0.27320528482331841,-0.45545807826369883,-0.4584855270917787,-0.46553523807501596,0
9,0.2645436770582375,0.11096656476585258,0.11422588737693548,0.12167576763083923,0
10,0.23058164764774555,0.57061333072250942,0.56337101490339059,0.55854280435731141,0
11,0.23459269010372535,-0.031069216972542897,-0.032922337286704198,-0.04011416445952394,1
12,0.26711298816990009,-0.46998010889919495,-0.4672219328513767,-0.46392708119289816,1
13,0.25914326185410247,0.12864507076997059,0.12568494013695611,0.1468452927858454,1
14,0.22979252880559009,0.55600528239331859,0.55089470941793728,0.54774571384876714,1
15,0.23791372106028486,-0.029105769616468866,-0.028284861626643627,-0.040233841250751308,1
16,0.25625605926574219,-0.45964302605693091,-0.4692452186030644,-0.46657867009852955,1
17,0.25439732910199209,0.11822571013373773,0.11984321676517014,0.12843750633518561,1
18,0.23257875410135229,0.55867931069730514,0.56684164184898433,0.56214058789358423,1
19,0.24547205840623842,-0.033533810891881538,-0.039515780503387089,-0.051883628896790566,1
20,0.2697982361730642,-0.46508084025832452,-0.47056914310601716,-0.47005303694384915,1
21,0.25653655174518131,0.12367848393403474,0.1208754290895062,0.13706545500273379,1
22,0.2342243099807286,0.56112520511801445,0.55904395092057602,0.55380809130437858,1
23,0.25088743320927692,-0.01784493154191856,-0.017663546405214579,-0.029249755755914295,1
24,0.27795495747515464,-0.45842755864602797,-0.4677903976097067,-0.45137597771292776,1
25,0.27932937062440644,0.14574015241685515,0.14120552399925559,0.12150373224344989,1
26,0.24298128518881879,0.56845540858069088,0.56975502373542553,0.56346077249681115,1
27,0.2498870100326106,-0.022056058633231627,-0.025087247361037346,-0.03568986308383712,1
28,0.27955376460795778,-0.43050546729279227,-0.43825640947462741,-0.43176768345026845,1
29,0.26739909049892802,0.13038786404221916,0.13285432791142071,0.11187349044937249,1
30,0.24201265115982226,0.56648448142516517,0.56802345016235456,0.56347199219598865,1
31,0.24958407815481631,-0.022976073965792033,-0.028591533404163764,-0.017599968109875037,1
32,0.27611679675989675,-0.46999506849809841,-0.46242364150310433,-0.46063222953441962,1
33,0.27831024794911086,0.15018315329117124,0.14236115301454488,0.14369255731694938,1
34,0.24620694870236898,0.55636057286727481,0.55727497835024642,0.55211765662829193,1
35,0.24378349368001476,-0.024954480920769486,-0.033169170668610651,-0.025285462046507678,1
36,0.27089215684287687,-0.45999457663116133,-0.46086784321714852,-0.47733462171008939,1
